종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"036460","한국가스공사 ","39100","450","1.16",,,"6913","5.66","81040","0.48","0","0.00"
"005430","한국공항 ","43850","-150","-0.34",,,,,"86072","0.51","0","0.00"
"071050","한국금융지주 ","80700","-600","-0.74","14780","5.46","17596","4.59","91124","0.89","3000","3.72"
"071055","한국금융지주우 ","65000","-1100","-1.66",,,,,,,"3062","4.71"
"010040","한국내화 ","3525","5","0.14","66","53.41",,,"6306","0.56","35","0.99"
"025540","한국단자 ","76300","600","0.79","5585","13.66",,,"73375","1.04","700","0.92"
"004090","한국석유 ","11300","-100","-0.88","546","20.70","693","16.30","11418","0.99","83","0.73"
"002200","한국수출포장 ","25500","-100","-0.39","2090","12.20",,,"63143","0.40","600","2.35"
"002960","한국쉘석유 ","257500","-3500","-1.34","16162","15.93",,,"75474","3.41","14000","5.44"
"000240","한국앤컴퍼니 ","15700","-200","-1.26","1848","8.50","2325","6.75","36437","0.43","500","3.18"
"123890","한국자산신탁 ","4085","-25","-0.61","1062","3.85","1053","3.88","6202","0.66","220","5.39"
"015760","한국전력 ","22100","0","0.00","3102","7.12",,,"107945","0.20","1216","5.50"
"006200","한국전자홀딩스 ","2180","15","0.69",,,,,"2169","1.01","0","0.00"
"009540","한국조선해양 ","94600","-1200","-1.25",,,"2436","38.83","154102","0.61","0","0.00"
"023350","한국종합기술 ","7150","160","2.29","591","12.10",,,"12558","0.57","100","1.40"
"025890","한국주강 ","5320","-130","-2.39",,,,,"2654","2.00","0","0.00"
"000970","한국주철관 ","9100","70","0.78","513","17.74",,,"12129","0.75","200","2.20"
"104700","한국철강 ","7740","-10","-0.13",,,"1943","3.98","15132","0.51","200","2.58"
"017960","한국카본 ","10750","0","0.00","1377","7.81","1073","10.02","8656","1.24","180","1.67"
"161890","한국콜마 ","40250","-700","-1.71","7005","5.75","3112","12.93","27257","1.48","345","0.86"
"024720","한국콜마홀딩스 ","19650","-100","-0.51","6123","3.21",,,"29717","0.66","205","1.04"
"161390","한국타이어앤테크놀로지 ","39700","-550","-1.37","3032","13.09","5243","7.57","59556","0.67","650","1.64"
"034830","한국토지신탁 ","2605","15","0.58","364","7.16","458","5.68","3641","0.72","90","3.45"
"007280","한국특강 ","3415","65","1.94","88","38.81",,,"1825","1.87","0","0.00"
"010100","한국프랜지 ","2680","-20","-0.74","379","7.07",,,"7395","0.36","50","1.87"
"047810","한국항공우주 ","32450","0","0.00","766","42.36","978","33.20","12264","2.65","200","0.62"
"123690","한국화장품 ","8710","-90","-1.02",,,,,"1835","4.75","0","0.00"
"003350","한국화장품제조 ","25800","100","0.39",,,,,"9768","2.64","0","0.00"
"011500","한농화성 ","16300","200","1.24","849","19.20",,,"8368","1.95","180","1.10"
"002390","한독 ","22800","0","0.00","1958","11.64",,,"27703","0.82","300","1.32"
"014790","한라 ","5400","40","0.75","1239","4.36","1387","3.89","7489","0.72","100","1.85"
"060980","한라홀딩스 ","45850","-1250","-2.65","4297","10.67","13592","3.37","84687","0.54","2000","4.36"
"053690","한미글로벌 ","12150","250","2.10","974","12.47","2190","5.55","10889","1.12","300","2.47"
"042700","한미반도체 ","37850","850","2.30","1004","37.70","2211","17.12","4992","7.58","400","1.06"
"008930","한미사이언스 ","54200","-800","-1.45","336","161.31",,,"9602","5.64","200","0.37"
"128940","한미약품 ","276000","500","0.18","978","282.21","6360","43.40","59364","4.65","500","0.18"
"009240","한샘 ","92600","-3400","-3.54","3766","24.59","3901","23.74","25832","3.58","1300","1.40"
"020000","한섬 ","35600","-650","-1.79","3873","9.19","4966","7.17","45559","0.78","450","1.26"
"003680","한성기업 ","6430","160","2.55","400","16.08",,,"8130","0.79","0","0.00"
"105630","한세실업 ","21950","400","1.86","1145","19.17","2466","8.90","10534","2.08","500","2.28"
"069640","한세엠케이 ","4025","-155","-3.71",,,"248","16.24","6030","0.67","0","0.00"
"016450","한세예스24홀딩스 ","7420","0","0.00","1385","5.36","1609","4.61","9208","0.81","250","3.37"
"010420","한솔PNS ","1985","5","0.25","144","13.78",,,"2130","0.93","25","1.26"
"009180","한솔로지스틱스 ","3930","-35","-0.88","316","12.44",,,"1989","1.98","50","1.27"
"213500","한솔제지 ","13500","-50","-0.37","2493","5.42","3109","4.34","26670","0.51","700","5.19"
"014680","한솔케미칼 ","305500","-1000","-0.33","11067","27.60","17723","17.24","48977","6.24","1800","0.59"
"004710","한솔테크닉스 ","7810","330","4.41","834","9.36",,,"8683","0.90","0","0.00"
"004150","한솔홀딩스 ","3550","-25","-0.70","1695","2.09","762","4.66","11972","0.30","120","3.38"
"025750","한솔홈데코 ","1685","0","0.00","7","240.71",,,"1918","0.88","0","0.00"
"004960","한신공영 ","15700","-250","-1.57","9155","1.71","5702","2.75","52869","0.30","400","2.55"
"011700","한신기계 ","3640","10","0.28","111","32.79",,,"2538","1.43","35","0.96"
"001750","한양증권 ","15700","150","0.96","3583","4.38","6866","2.29","26489","0.59","750","4.78"
"001755","한양증권우 ","19400","100","0.52",,,,,,,"800","4.12"
"018880","한온시스템 ","13450","-250","-1.82","207","64.98","706","19.04","3967","3.39","320","2.38"
"009420","한올바이오파마 ","21050","-300","-1.41","386","54.53","252","83.62","3470","6.07","0","0.00"
"014130","한익스프레스 ","6320","60","0.96",,,,,"5662","1.12","0","0.00"
"300720","한일시멘트 ","21000","-100","-0.47","1832","11.46","1574","13.34","18779","1.12","510","2.43"
"002220","한일철강 ","2675","10","0.38",,,,,"5895","0.45","0","0.00"
"006390","한일현대시멘트 ","33300","-1000","-2.92","3732","8.92","1773","18.78","15211","2.19","1100","3.30"
"003300","한일홀딩스 ","13500","200","1.50","1571","8.59",,,"43292","0.31","510","3.78"
"051600","한전KPS ","38550","-50","-0.13","1935","19.92","3356","11.49","23371","1.65","1146","2.97"
"052690","한전기술 ","85000","-1100","-1.28","530","160.38","761","111.77","13058","6.51","282","0.33"
"130660","한전산업 ","12200","100","0.83","419","29.12",,,"2553","4.78","208","1.70"
"002320","한진 ","30100","-300","-0.99","575","52.35","3479","8.65","73015","0.41","600","1.99"
"097230","한진중공업 ","8040","200","2.55","940","8.55",,,"3843","2.09","0","0.00"
"003480","한진중공업홀딩스 ","4165","65","1.59",,,,,"11160","0.37","0","0.00"
"180640","한진칼 ","61400","-200","-0.32",,,,,"22665","2.71","0","0.00"
"18064K","한진칼우 ","34500","700","2.07",,,,,,,"0","0.00"
"005110","한창 ","1015","0","0.00",,,,,"544","1.87","0","0.00"
"009460","한창제지 ","2050","10","0.49","177","11.58",,,"1587","1.29","20","0.98"
"372910","한컴라이프케어 ","8870","120","1.37","1967","4.51",,,"1920","4.62","0","0.00"
"000880","한화 ","31400","-400","-1.26","2831","11.09","7928","3.96","46059","0.68","700","2.23"
"00088K","한화3우B ","16000","-100","-0.62",,,,,,,"750","4.69"
"088350","한화생명 ","2935","-75","-2.49","184","15.95","526","5.58","14584","0.20","30","1.02"
"000370","한화손해보험 ","3710","-25","-0.67","315","11.78","1485","2.50","14390","0.26","0","0.00"
"009830","한화솔루션 ","35500","-700","-1.93","1860","19.09","4642","7.65","35699","0.99","0","0.00"
"009835","한화솔루션우 ","36900","0","0.00",,,,,,,"0","0.00"
"272210","한화시스템 ","16000","-100","-0.62","760","21.05","584","27.39","8376","1.91","230","1.44"
"012450","한화에어로스페이스 ","48000","-250","-0.52","2390","20.08","4103","11.70","51308","0.94","600","1.25"
"000885","한화우 ","38700","450","1.18",,,,,,,"750","1.94"
"003530","한화투자증권 ","6390","60","0.95","307","20.81",,,"5707","1.12","0","0.00"
"003535","한화투자증권우 ","13300","-150","-1.12",,,,,,,"0","0.00"
"195870","해성디에스 ","48850","200","0.41","1764","27.69","4920","9.93","13638","3.58","450","0.92"
"101530","해태제과식품 ","7970","-10","-0.13","1035","7.70",,,"9030","0.88","200","2.51"
"143210","핸즈코퍼레이션 ","4995","-45","-0.89",,,,,"13471","0.37","0","0.00"
"000720","현대건설 ","44450","-450","-1.00","1067","41.66","4562","9.74","57894","0.77","600","1.35"
"267270","현대건설기계 ","40550","-750","-1.82",,,"6746","6.01","61841","0.66","0","0.00"
"000725","현대건설우 ","73600","100","0.14",,,,,,,"650","0.88"
"005440","현대그린푸드 ","8570","-130","-1.49","815","10.52","880","9.74","18231","0.47","210","2.45"
"086280","현대글로비스 ","168000","-4000","-2.33","16165","10.39","22168","7.58","135079","1.24","3500","2.08"
"042670","현대두산인프라코어 ","7080","-20","-0.28","503","14.08","862","8.21","7842","0.90","0","0.00"
"064350","현대로템 ","20800","-250","-1.19","326","63.80","687","30.28","12493","1.66","0","0.00"
"079430","현대리바트 ","15150","150","1.00","1322","11.46","706","21.46","23425","0.65","200","1.32"
"012330","현대모비스 ","254500","-6500","-2.49","16389","15.53","31156","8.17","349812","0.73","4000","1.57"
"010620","현대미포조선 ","70000","200","0.29",,,"1940","36.09","58248","1.20","0","0.00"
"069960","현대백화점 ","75100","-400","-0.53","3172","23.68","10554","7.12","182312","0.41","1000","1.33"
"004560","현대비앤지스틸 ","16450","-350","-2.08","1553","10.59",,,"28211","0.58","100","0.61"
"004565","현대비앤지스틸우 ","73400","-100","-0.14",,,,,,,"150","0.20"
"004310","현대약품 ","5950","0","0.00","80","74.38",,,"2817","2.11","43","0.72"
"322000","현대에너지솔루션 ","21400","700","3.38","556","38.49",,,"29352","0.73","200","0.93"
"017800","현대엘리베이 ","41200","-300","-0.72","2389","17.25","2793","14.75","24732","1.67","800","1.94"
"307950","현대오토에버 ","138000","-2000","-1.43","2809","49.13","4011","34.41","26430","5.22","750","0.54"
"011210","현대위아 ","79900","-1000","-1.24","2295","34.81","7547","10.59","114656","0.70","700","0.88"
"267260","현대일렉트릭 ","19900","-300","-1.49",,,"2113","9.42","18841","1.06","0","0.00"
"004020","현대제철 ","41000","-200","-0.49",,,"11290","3.63","122488","0.33","500","1.22"
"329180","현대중공업 ","95200","1500","1.60",,,"488","195.23","75746","1.26","0","0.00"
"267250","현대중공업지주 ","53700","-1000","-1.83",,,"8307","6.46","88804","0.60","3700","6.89"
"005380","현대차 ","209000","-3000","-1.42","5454","38.32","24477","8.54","250888","0.83","3000","1.44"
"005387","현대차2우B ","101000","0","0.00",,,,,,,"3100","3.07"
"005389","현대차3우B ","93300","-1100","-1.17",,,,,,,"3050","3.27"
"005385","현대차우 ","98500","-1500","-1.50",,,,,,,"3050","3.10"
"001500","현대차증권 ","12350","0","0.00","2739","4.51",,,"27500","0.45","675","5.47"
"011760","현대코퍼레이션 ","16800","50","0.30","3980","4.22","3317","5.07","23665","0.71","600","3.57"
"227840","현대코퍼레이션홀딩스 ","11900","-150","-1.24","2063","5.77","2505","4.75","19321","0.62","500","4.20"
"126560","현대퓨처넷 ","4215","-45","-1.06",,,,,"6121","0.69","80","1.90"
"001450","현대해상 ","22950","-450","-1.92","3955","5.80","4418","5.19","53743","0.43","1000","4.36"
"057050","현대홈쇼핑 ","63400","-400","-0.63","9814","6.46","13996","4.53","149799","0.42","2200","3.47"
"093240","형지엘리트 ","3755","130","3.59",,,,,"1933","1.94","0","0.00"
"003010","혜인 ","5710","10","0.18","484","11.80",,,"8434","0.68","120","2.10"
"111110","호전실업 ","10150","0","0.00",,,"1929","5.26","12387","0.82","200","1.97"
"008770","호텔신라 ","78000","-300","-0.38",,,"3280","23.78","15588","5.00","200","0.26"
"008775","호텔신라우 ","76700","200","0.26",,,,,,,"250","0.33"
"002460","화성산업 ","12600","-100","-0.79","2742","4.60",,,"31644","0.40","650","5.16"
"378850","화승알앤에이 ","5140","-20","-0.39",,,,,,,"0","0.00"
"241590","화승엔터프라이즈 ","16850","450","2.74","662","25.45","1330","12.67","8554","1.97","45","0.27"
"006060","화승인더 ","6100","-10","-0.16","698","8.74",,,"6374","0.96","188","3.08"
"013520","화승코퍼레이션 ","2055","0","0.00",,,,,"3196","0.64","25","1.22"
"010690","화신 ","8320","-130","-1.54",,,"1346","6.18","7321","1.14","50","0.60"
"133820","화인베스틸 ","3045","45","1.50",,,,,"2583","1.18","0","0.00"
"010660","화천기계 ","2665","55","2.11",,,,,"5464","0.49","0","0.00"
"000850","화천기공 ","34250","-450","-1.30","2053","16.68",,,"134620","0.25","750","2.19"
"016580","환인제약 ","17800","150","0.85","1532","11.62","1484","12.00","15920","1.12","300","1.69"
"032560","황금에스티 ","8450","90","1.08","1048","8.06",,,"17074","0.49","100","1.18"
"004800","효성 ","94700","-2200","-2.27",,,"18058","5.24","105988","0.89","5000","5.28"
"094280","효성ITX ","20000","-50","-0.25","1067","18.74",,,"3977","5.03","750","3.75"
"298040","효성중공업 ","58300","-100","-0.17",,,"9191","6.34","94759","0.62","0","0.00"
"298050","효성첨단소재 ","596000","-3000","-0.50","18","33111.11","66117","9.01","69831","8.53","0","0.00"
"298020","효성티앤씨 ","521000","-8000","-1.51","31698","16.44","150547","3.46","138867","3.75","5000","0.96"
"298000","효성화학 ","303500","-2500","-0.82",,,"58702","5.17","126125","2.41","0","0.00"
"093370","후성 ","23100","550","2.44","65","355.38","1342","17.21","2350","9.83","0","0.00"
"081660","휠라홀딩스 ","35850","500","1.41","2306","15.55","4704","7.62","21274","1.69","185","0.52"
"005870","휴니드 ","8590","-240","-2.72","432","19.88",,,"8452","1.02","0","0.00"
"079980","휴비스 ","8590","-40","-0.46","2497","3.44",,,"13659","0.63","300","3.49"
"005010","휴스틸 ","14550","300","2.11","1134","12.83",,,"54380","0.27","200","1.37"
"069260","휴켐스 ","23150","-200","-0.86","1292","17.92",,,"16351","1.42","1000","4.32"
"000540","흥국화재 ","3600","25","0.70","268","13.43",,,"11107","0.32","0","0.00"
"000547","흥국화재2우B ","27700","250","0.91",,,,,,,"0","0.00"
"000545","흥국화재우 ","8070","20","0.25",,,,,,,"0","0.00"
"003280","흥아해운 ","2700","-15","-0.55",,,,,,,"0","0.00"
