종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"010400","우진아이엔에스 ","7120","50","0.71","247","28.83",,,"13308","0.54","250","3.51"
"049800","우진플라임 ","4570","60","1.33","389","11.75",,,"3039","1.50","100","2.19"
"016880","웅진 ","1710","-15","-0.87",,,,,"489","3.50","0","0.00"
"095720","웅진씽크빅 ","3175","-35","-1.09","8","396.88","338","9.40","3213","0.99","110","3.46"
"005820","원림 ","19300","-150","-0.77","7819","2.47",,,"45998","0.42","500","2.59"
"010600","웰바이오텍 ","1765","-50","-2.75",,,,,"419","4.21","0","0.00"
"008600","윌비스 ","1685","50","3.06",,,,,"1552","1.09","0","0.00"
"033270","유나이티드제약 ","47350","550","1.18","1794","26.39",,,"17045","2.78","350","0.74"
"014830","유니드 ","100500","-2000","-1.95","8773","11.46","15782","6.37","88230","1.14","1400","1.39"
"000910","유니온 ","7540","-90","-1.18","951","7.93",,,"8009","0.94","125","1.66"
"047400","유니온머티리얼 ","3175","-25","-0.78",,,,,"1980","1.60","20","0.63"
"011330","유니켐 ","1290","0","0.00","162","7.96",,,"1423","0.91","50","3.88"
"077500","유니퀘스트 ","12100","650","5.68","897","13.49",,,"8425","1.44","125","1.03"
"002920","유성기업 ","3195","15","0.47",,,,,"10196","0.31","120","3.76"
"000700","유수홀딩스 ","6300","-110","-1.72","3202","1.97",,,"11744","0.54","500","7.94"
"003470","유안타증권 ","4020","15","0.37","500","8.04",,,"6527","0.62","125","3.11"
"003475","유안타증권우 ","4070","-5","-0.12",,,,,,,"175","4.30"
"072130","유엔젤 ","5270","10","0.19",,,,,"2765","1.91","0","0.00"
"000220","유유제약 ","7810","-20","-0.26","84","92.98",,,"6360","1.23","210","2.69"
"000225","유유제약1우 ","9680","20","0.21",,,,,,,"220","2.27"
"000227","유유제약2우B ","18000","-500","-2.70",,,,,,,"0","0.00"
"001200","유진투자증권 ","3595","-15","-0.42","797","4.51",,,"8932","0.40","120","3.34"
"000100","유한양행 ","62100","-900","-1.43","2817","22.04","1670","37.18","24768","2.51","400","0.64"
"000105","유한양행우 ","59100","-400","-0.67",,,,,,,"410","0.69"
"003460","유화증권 ","2700","-20","-0.74","83","32.53",,,"6358","0.42","110","4.07"
"003465","유화증권우 ","2690","-45","-1.65",,,,,,,"120","4.46"
"008730","율촌화학 ","27250","1050","4.01","814","33.48",,,"14018","1.94","500","1.83"
"008250","이건산업 ","11450","0","0.00","158","72.47",,,"15750","0.73","200","1.75"
"025820","이구산업 ","3635","10","0.28","57","63.77",,,"3058","1.19","30","0.83"
"214320","이노션 ","55400","500","0.91","3174","17.45","4446","12.46","38463","1.44","1800","3.25"
"139480","이마트 ","151000","0","0.00","12378","12.20","17210","8.77","325504","0.46","2000","1.32"
"007660","이수페타시스 ","7310","440","6.40",,,"771","9.48","1404","5.21","0","0.00"
"005950","이수화학 ","14550","-350","-2.35",,,"2197","6.62","10682","1.36","300","2.06"
"015020","이스타코 ","3110","255","8.93",,,,,"1139","2.73","0","0.00"
"093230","이아이디 ","302","-3","-0.98",,,,,"199","1.52","0","0.00"
"074610","이엔플러스 ","4790","195","4.24",,,,,"1312","3.65","0","0.00"
"102460","이연제약 ","35550","-300","-0.84","226","157.30",,,"12850","2.77","200","0.56"
"084680","이월드 ","2680","-110","-3.94",,,,,"2557","1.05","0","0.00"
"000760","이화산업 ","15550","-600","-3.72",,,,,"35475","0.44","0","0.00"
"014990","인디에프 ","1310","10","0.77",,,,,"699","1.87","0","0.00"
"101140","인바이오젠 ","3560","-10","-0.28",,,,,"1511","2.36","0","0.00"
"006490","인스코비 ","3160","-80","-2.47","26","121.54",,,"356","8.88","0","0.00"
"023800","인지컨트롤스 ","15300","200","1.32",,,,,"11640","1.31","100","0.65"
"034590","인천도시가스 ","27150","0","0.00","2762","9.83",,,"43813","0.62","1250","4.60"
"129260","인터지스 ","3485","-30","-0.85","180","19.36",,,"6245","0.56","0","0.00"
"023810","인팩 ","13150","-50","-0.38","337","39.02",,,"9650","1.36","150","1.14"
"249420","일동제약 ","33600","3300","10.89",,,,,"10694","3.14","0","0.00"
"000230","일동홀딩스 ","14800","0","0.00",,,,,"10633","1.39","100","0.68"
"013360","일성건설 ","6270","330","5.56","49","127.96",,,"1673","3.75","15","0.24"
"003120","일성신약 ","73800","-500","-0.67","2100","35.14",,,"130630","0.56","750","1.02"
"003200","일신방직 ","107000","-1000","-0.93","4428","24.16",,,"295756","0.36","1500","1.40"
"007110","일신석재 ","2250","105","4.90","8","281.25",,,"674","3.34","0","0.00"
